case,branch_id,from_bus,to_bus,length,length_unit,R_ohm,X_ohm,R1,X1,phases,enabled,is_switch,is_candidate_switch,is_normally_open,thermal_limit_A,source_file,data_status
ieee33,1,1,2,1.0,km,0.0922,0.0407,0.0922,0.0407,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,2,2,3,1.0,km,0.493,0.2511,0.493,0.2511,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,3,3,4,1.0,km,0.366,0.1864,0.366,0.1864,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,4,4,5,1.0,km,0.3811,0.1941,0.3811,0.1941,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,5,5,6,1.0,km,0.819,0.707,0.819,0.707,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,6,6,7,1.0,km,0.1872,0.6188,0.1872,0.6188,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,7,7,8,1.0,km,0.7114,0.2351,0.7114,0.2351,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,8,8,9,1.0,km,1.03,0.74,1.03,0.74,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,9,9,10,1.0,km,1.044,0.74,1.044,0.74,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,10,10,11,1.0,km,0.1966,0.065,0.1966,0.065,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,11,11,12,1.0,km,0.3744,0.1238,0.3744,0.1238,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,12,12,13,1.0,km,1.468,1.15,1.468,1.15,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
