case,load_id,bus,phase,kV,P_kW,Q_kVAr,connected_users,load_type,feeder,source_file,data_status
ieee33,Load2,2,3,12.66,100.0,60.0,154,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load3,3,3,12.66,90.0,40.0,133,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load4,4,3,12.66,120.0,80.0,196,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load5,5,3,12.66,60.0,30.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load6,6,3,12.66,60.0,20.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load7,7,3,12.66,200.0,100.0,365,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load8,8,3,12.66,200.0,100.0,365,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load9,9,3,12.66,60.0,20.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load10,10,3,12.66,60.0,20.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load11,11,3,12.66,45.0,30.0,39,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load12,12,3,12.66,60.0,35.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load13,13,3,12.66,60.0,35.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load14,14,3,12.66,120.0,80.0,196,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load15,15,3,12.66,60.0,10.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load16,16,3,12.66,60.0,20.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load17,17,3,12.66,60.0,20.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load18,18,3,12.66,90.0,40.0,133,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load19,19,3,12.66,90.0,40.0,133,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load20,20,3,12.66,90.0,40.0,133,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load21,21,3,12.66,90.0,40.0,133,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load22,22,3,12.66,90.0,40.0,133,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load23,23,3,12.66,90.0,50.0,133,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load24,24,3,12.66,420.0,200.0,698,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load25,25,3,12.66,420.0,200.0,698,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load26,26,3,12.66,60.0,25.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load27,27,3,12.66,60.0,25.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load28,28,3,12.66,60.0,20.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load29,29,3,12.66,120.0,70.0,196,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load30,30,3,12.66,200.0,600.0,365,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load31,31,3,12.66,150.0,70.0,260,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load32,32,3,12.66,210.0,100.0,387,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
ieee33,Load33,33,3,12.66,60.0,40.0,70,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,SOURCE/INFERRED_USERS
