case,element_id,element_type,associated_branch,failure_rate_lambda_per_year,repair_time_h,restoration_time_h,users_affected,load_affected_kW,source_file,notes,data_status
ieee33,1,branch,1,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,2,branch,2,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,3,branch,3,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,4,branch,4,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,5,branch,5,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,6,branch,6,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,7,branch,7,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,8,branch,8,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,9,branch,9,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,10,branch,10,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,11,branch,11,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,12,branch,12,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,13,branch,13,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,14,branch,14,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,15,branch,15,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,16,branch,16,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
ieee33,17,branch,17,1.4634,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/ieee33/public_sanitized_source,lambda calculated as failure_rate_per_km_year (1.4634) multiplied by length_km.,CALCULATED
