case,switch_id,branch_id,from_bus,to_bus,base_status,is_tie_switch,is_sectionalizing_switch,included_in_optimization,source_file,data_status
ieee33,1,1,1,2,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,2,2,2,3,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,3,3,3,4,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,4,4,4,5,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,5,5,5,6,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,6,6,6,7,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,7,7,7,8,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,8,8,8,9,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,9,9,9,10,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,10,10,10,11,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,11,11,11,12,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,12,12,12,13,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,13,13,13,14,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,14,14,14,15,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,15,15,15,16,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,16,16,16,17,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,17,17,17,18,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,18,18,2,19,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,19,19,19,20,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,20,20,20,21,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,21,21,21,22,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,22,22,3,23,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,23,23,23,24,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,24,24,24,25,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,25,25,6,26,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,26,26,26,27,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,27,27,27,28,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,28,28,28,29,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,29,29,29,30,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,30,30,30,31,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,31,31,31,32,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,32,32,32,33,closed,False,True,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,33,33,21,8,open,True,False,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,34,34,9,15,open,True,False,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,35,35,12,22,open,True,False,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,36,36,18,33,open,True,False,True,data/ieee33/public_sanitized_source,SOURCE
ieee33,37,37,25,29,open,True,False,True,data/ieee33/public_sanitized_source,SOURCE
