case,branch_id,from_bus,to_bus,length,length_unit,R_ohm,X_ohm,R1,X1,phases,enabled,is_switch,is_candidate_switch,is_normally_open,thermal_limit_A,source_file,data_status
real_system_anonymized,1,0,1,0.38,km,0.6849500000000001,0.503614,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,2,1,2,0.47,km,0.8471749999999999,0.622891,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,3,2,3,0.6,km,1.0815,0.7951799999999999,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,4,3,4,0.126,km,0.227115,0.1669878,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,5,4,5,0.38,km,0.6849500000000001,0.503614,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,6,5,6,0.107,km,0.1928675,0.1418071,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,7,6,7,0.392,km,0.70658,0.5195176,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,8,5,8,0.6,km,1.0815,0.7951799999999999,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,9,8,9,0.117,km,0.2108925,0.1550601,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,10,9,10,0.29,km,0.522725,0.3843369999999999,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,11,8,11,0.562,km,1.0130050000000002,0.7448186,1.8025,1.3253,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,12,0,12,0.405,km,0.583362,0.5261355,1.4404,1.2991,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,13,12,13,0.56,km,0.806624,0.727496,1.4404,1.2991,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,14,13,14,0.25,km,0.3601,0.324775,1.4404,1.2991,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,15,14,15,0.588,km,0.8469551999999999,0.7638708,1.4404,1.2991,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,16,13,16,0.315,km,0.4537259999999999,0.4092165,1.4404,1.2991,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,17,0,17,1.168,km,2.10532,1.4768191999999998,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,18,17,18,1.6,km,2.8840000000000003,2.02304,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,19,18,19,0.218,km,0.392945,0.2756392,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,20,19,20,0.18,km,0.3244499999999999,0.227592,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,21,20,21,0.085,km,0.1532125,0.107474,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,22,21,22,0.1,km,0.18025,0.12644,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,23,22,23,0.18,km,0.3244499999999999,0.227592,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,24,23,24,0.24,km,0.4326,0.303456,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,25,19,25,0.24,km,0.4326,0.303456,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,26,25,26,0.47,km,0.8471749999999999,0.5942679999999999,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,27,26,27,0.1,km,0.18025,0.12644,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,28,26,28,0.202,km,0.364105,0.2554088,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,29,28,29,0.086,km,0.155015,0.1087383999999999,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,30,29,30,0.1,km,0.18025,0.12644,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,31,25,31,0.186,km,0.335265,0.2351783999999999,1.8025,1.2644,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,32,0,32,0.2,km,0.3605,0.26204,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,33,32,33,0.215,km,0.3875375,0.281693,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,34,33,34,0.613,km,1.1049325,0.8031526,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,35,34,35,0.206,km,0.3713149999999999,0.2699012,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,36,35,36,0.216,km,0.38934,0.2830032,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,37,36,37,0.275,km,0.4956875,0.360305,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,38,37,38,0.1,km,0.18025,0.13102,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,39,38,39,0.202,km,0.364105,0.2646604,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,40,38,40,0.609,km,1.0977225,0.7979118,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,41,40,41,0.114,km,0.205485,0.1493628,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,42,41,42,0.16,km,0.2884,0.209632,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,43,42,43,0.44,km,0.7931,0.576488,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,44,44,45,0.28,km,0.5047,0.366856,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,45,44,50,0.135,km,0.2433375,0.176877,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,46,40,46,0.046,km,0.082915,0.0602692,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,47,46,47,0.275,km,0.4956875,0.360305,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,48,47,48,0.243,km,0.4380075,0.3183786,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,49,48,49,0.13,km,0.234325,0.170326,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,50,50,51,0.45,km,0.811125,0.5895900000000001,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,51,51,52,0.665,km,1.1986625,0.871283,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,52,52,53,0.62,km,1.11755,0.812324,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,53,33,53,0.264,km,0.47586,0.3458928,1.8025,1.3102,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,54,0,54,0.15,km,0.39846,0.1952099999999999,2.6564,1.3014,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
real_system_anonymized,55,54,55,0.367,km,0.9748988,0.4776138,2.6564,1.3014,3,True,True,True,False,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,CALCULATED
