case,load_id,bus,phase,kV,P_kW,Q_kVAr,connected_users,load_type,feeder,source_file,data_status
real_system_anonymized,Load1,1,3,13.2,285.93,138.48,1255,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load2,2,3,13.2,502.92,243.58,4,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load3,3,3,13.2,185.67,89.92,815,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load4,4,3,13.2,314.64,152.39,1381,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load5,5,3,13.2,637.2,308.61,4,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load6,6,3,13.2,278.91,135.08,1224,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load7,7,3,13.2,601.47,291.31,4,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load8,8,3,13.2,36.63,17.74,161,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load9,9,3,13.2,188.28,91.19,826,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load10,10,3,13.2,102.87,49.82,451,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load11,11,3,13.2,246.69,119.48,1083,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load12,12,3,13.2,228.96,110.89,1120,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load13,13,3,13.2,119.52,57.89,585,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load14,14,3,13.2,195.66,94.76,2,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load15,15,3,13.2,13.05,6.32,64,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load16,16,3,13.2,213.03,103.18,3,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load17,17,3,13.2,28.26,13.69,68,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load18,18,3,13.2,996.48,482.62,3,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load19,19,3,13.2,609.03,294.97,2,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load20,20,3,13.2,271.26,131.38,662,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load21,21,3,13.2,600.93,291.04,2,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load22,22,3,13.2,353.16,171.04,862,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load23,23,3,13.2,152.55,73.88,372,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load24,24,3,13.2,124.29,60.2,303,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load25,25,3,13.2,128.07,62.03,313,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load26,26,3,13.2,310.77,150.51,758,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load27,27,3,13.2,153.54,74.36,375,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load28,28,3,13.2,113.04,54.75,276,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load29,29,3,13.2,294.84,142.8,719,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
