case,element_id,element_type,associated_branch,failure_rate_lambda_per_year,repair_time_h,restoration_time_h,users_affected,load_affected_kW,source_file,notes,data_status
real_system_anonymized,1,branch,1,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,2,branch,2,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,3,branch,3,5.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,4,branch,4,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,5,branch,5,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,6,branch,6,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,7,branch,7,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,8,branch,8,5.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,9,branch,9,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,10,branch,10,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,11,branch,11,5.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,12,branch,12,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,13,branch,13,5.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,14,branch,14,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,15,branch,15,5.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,16,branch,16,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,17,branch,17,8.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,18,branch,18,8.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,19,branch,19,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
real_system_anonymized,20,branch,20,2.0,0.3659,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,"failure_rate_lambda_per_year imported from Excel sheet sanitized_reliability_sheet, column P (zero-based index 15), validated against workbook formulas.",SOURCE
