case,switch_id,branch_id,from_bus,to_bus,base_status,is_tie_switch,is_sectionalizing_switch,included_in_optimization,source_file,data_status
real_system_anonymized,1,1,0,1,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,2,2,1,2,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,3,3,2,3,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,4,4,3,4,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,5,5,4,5,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,6,6,5,6,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,7,7,6,7,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,8,8,5,8,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,9,9,8,9,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,10,10,9,10,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,11,11,8,11,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,12,12,0,12,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,13,13,12,13,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,14,14,13,14,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,15,15,14,15,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,16,16,13,16,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,17,17,0,17,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,18,18,17,18,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,19,19,18,19,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,20,20,19,20,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,21,21,20,21,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,22,22,21,22,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,23,23,22,23,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,24,24,23,24,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,25,25,19,25,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,26,26,25,26,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,27,27,26,27,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,28,28,26,28,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,29,29,28,29,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
