case,open_switches,radial,connected,converged,opendss_converged,electrically_solved,losses_kw,min_voltage_pu,vmin_pu,max_voltage_pu,vmax_pu,v_min_limit,v_max_limit,voltage_feasible,saidi_h_user_year,saifi_int_user_year,ens_mwh_year,objective_reliability,objective_reliability_name,topologically_feasible,max_loading_percent,loading_feasible,loading_check_available,all_loads_served,operationally_feasible,feasible,infeasibility_reasons,message,seed,population,generations,method,source_seed_dir,source_file
ieee33,"10,12,15,18,27",True,True,True,True,True,198.37274804641623,0.9085372708466954,0.9085372708466954,0.9983782876242148,0.9983782876242148,0.9,1.05,True,3.5453644951875005,9.689435625,13.4319654351,3.5453644951875005,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,1234,100,100,evolutionary,seed_1234,removed_for_public_release
ieee33,"10,12,15,18,28",True,True,True,True,True,196.7364287858176,0.9099488552574552,0.9099488552574552,0.9983774148352336,0.9983774148352336,0.9,1.05,True,3.551871798,9.70722,13.4640929187,3.551871798,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,31415,100,100,evolutionary,seed_31415,removed_for_public_release
ieee33,"10,12,15,20,27",True,True,True,True,True,182.0300761327481,0.9091919969326976,0.9091919969326976,0.9983809128516608,0.9983809128516608,0.9,1.05,True,3.372270240375,9.21637125,12.757288279500004,3.372270240375,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,31415,100,100,evolutionary,seed_31415,removed_for_public_release
ieee33,"10,12,16,19,24",True,True,True,True,True,248.1270438998326,0.8934919953906925,0.8934919953906925,0.9984143189645952,0.9984143189645952,0.9,1.05,False,4.17090221840625,11.399022187499998,15.536315610899996,4.17090221840625,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,2026,100,100,evolutionary,seed_2026,removed_for_public_release
ieee33,"10,12,16,27,33",True,True,True,True,True,160.22072903488612,0.9147770696055904,0.9147770696055904,0.9983845433750236,0.9983845433750236,0.9,1.05,True,3.2133061288125,8.781924375000001,12.0504836403,3.2133061288125,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,2026,100,100,evolutionary,seed_2026,removed_for_public_release
ieee33,"10,12,17,18,28",True,True,True,True,True,195.1455012726755,0.9182733701071548,0.9182733701071548,0.998375205184904,0.998375205184904,0.9,1.05,True,3.52584258675,9.6360825,13.3355829843,3.52584258675,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,31415,100,100,evolutionary,seed_31415,removed_for_public_release
ieee33,"10,12,17,19,28",True,True,True,True,True,186.20326830946328,0.9185951812579708,0.9185951812579708,0.9983759464748952,0.9983759464748952,0.9,1.05,True,3.426931584,9.36576,12.950053181100005,3.426931584,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,31415,100,100,evolutionary,seed_31415,removed_for_public_release
ieee33,"10,12,17,20,26",True,True,True,True,True,181.5031314030396,0.9159567884494096,0.9159567884494096,0.9983788693127916,0.9983788693127916,0.9,1.05,True,3.3527483319375,9.163018125,12.660905828700002,3.3527483319375,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,2026,100,100,evolutionary,seed_2026,removed_for_public_release
ieee33,"10,12,17,22,33",True,True,True,True,True,269.1970409933958,0.8862491798385068,0.8862491798385068,0.9984270063809756,0.9984270063809756,0.9,1.05,False,4.496732166374999,12.28951125,16.5162038607,4.496732166374999,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,27182,100,100,evolutionary,seed_27182,removed_for_public_release
ieee33,"10,12,17,24,33",True,True,True,True,True,207.67459876334965,0.9026348662694458,0.9026348662694458,0.9984073847444932,0.9984073847444932,0.9,1.05,True,3.9312475519687498,10.744049062499998,14.5082361357,3.9312475519687498,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,31415,100,100,evolutionary,seed_31415,removed_for_public_release
