case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_33457,33457,1,1.8659592000185512,199,199,0,0,100,100,5,5,146.0981620494561,3.0374230299374996
ieee33,ieee33_seed_33457,33457,2,2.6232980000204407,98,297,100,100,100,100,4,4,141.78712501504342,3.0374230299374996
ieee33,ieee33_seed_33457,33457,3,3.3628387000062503,96,393,100,200,100,100,3,3,141.78712501504342,3.0179011214999996
ieee33,ieee33_seed_33457,33457,4,4.104341300000669,97,490,100,300,100,100,5,5,141.57613942541096,3.0055372461562495
ieee33,ieee33_seed_33457,33457,5,4.801479600020684,91,581,100,400,100,100,5,5,141.57613942541096,3.0055372461562495
ieee33,ieee33_seed_33457,33457,6,5.471397700021043,87,668,100,500,100,100,4,4,141.57613942541096,2.99902994334375
ieee33,ieee33_seed_33457,33457,7,6.1705097000231035,91,759,100,600,100,100,4,4,141.1015786214418,2.99902994334375
ieee33,ieee33_seed_33457,33457,8,6.765516000014031,77,836,100,700,100,100,4,4,141.1015786214418,2.99902994334375
ieee33,ieee33_seed_33457,33457,9,7.428478900023038,83,919,100,800,100,100,4,4,141.1015786214418,2.99902994334375
ieee33,ieee33_seed_33457,33457,10,8.07492050001747,84,1003,100,900,100,100,4,4,141.1015786214418,2.99902994334375
ieee33,ieee33_seed_33457,33457,11,8.73378180002328,82,1085,100,1000,100,100,5,5,140.52049593463542,2.99902994334375
ieee33,ieee33_seed_33457,33457,12,9.347281100024702,77,1162,100,1100,100,100,5,5,140.52049593463542,2.99902994334375
ieee33,ieee33_seed_33457,33457,13,9.890722800017102,68,1230,100,1200,100,100,7,7,140.52049593463542,2.99902994334375
ieee33,ieee33_seed_33457,33457,14,10.48639400000684,76,1306,100,1300,100,100,7,7,140.52049593463542,2.99902994334375
ieee33,ieee33_seed_33457,33457,15,11.025746300001629,69,1375,100,1400,100,100,3,3,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_33457,33457,16,11.574027700000443,69,1444,100,1500,100,100,3,3,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_33457,33457,17,12.158247500017751,74,1518,100,1600,100,100,3,3,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_33457,33457,18,12.693801800021902,67,1585,100,1700,100,100,3,3,139.15707296498272,2.99902994334375
ieee33,ieee33_seed_33457,33457,19,13.224478400021326,65,1650,100,1800,100,100,4,4,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_33457,33457,20,13.790201100026025,70,1720,100,1900,100,100,4,4,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_33457,33457,21,14.340061200025957,68,1788,100,2000,100,100,5,5,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_33457,33457,22,14.841578600025969,61,1849,100,2100,100,100,5,5,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_33457,33457,23,15.294140700018033,54,1903,100,2200,100,100,5,5,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_33457,33457,24,15.788276100007351,58,1961,100,2300,100,100,5,5,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_33457,33457,25,16.244907900021644,55,2016,100,2400,100,100,5,5,137.97384885633065,2.99902994334375
ieee33,ieee33_seed_33457,33457,26,16.69158390001394,52,2068,100,2500,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,27,17.137102800013963,52,2120,100,2600,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,28,17.54996000000392,47,2167,100,2700,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,29,18.014392400014913,53,2220,100,2800,100,100,6,6,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,30,18.40527360001579,41,2261,100,2900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,31,18.781110700016143,36,2297,100,3000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,32,19.15129629999865,39,2336,100,3100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,33,19.5867067000072,39,2375,100,3200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,34,20.056054700020468,35,2410,100,3300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,35,20.516500600002473,36,2446,100,3400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,36,20.93629100001999,36,2482,100,3500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,37,21.265878800011706,35,2517,100,3600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,38,21.558043400000315,30,2547,100,3700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,39,21.8815908000106,34,2581,100,3800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,40,22.266936500003794,43,2624,100,3900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,41,22.595156600000337,35,2659,100,4000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,42,22.88112830001046,29,2688,100,4100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,43,23.184465700003784,31,2719,100,4200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,44,23.445707100006985,26,2745,100,4300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,45,23.74982930000988,30,2775,100,4400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,46,23.980145300010918,21,2796,100,4500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,47,24.246411900006933,25,2821,100,4600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,48,24.516717600025004,27,2848,100,4700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,49,24.783155400014948,26,2874,100,4800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,50,25.029298000008566,23,2897,100,4900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,51,25.247617300017737,20,2917,100,5000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,52,25.485345400025835,22,2939,100,5100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,53,25.701844499999424,18,2957,100,5200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,54,25.897837299999082,15,2972,100,5300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,55,26.1065285000077,17,2989,100,5400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,56,26.324527900025714,19,3008,100,5500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,57,26.524558600009186,17,3025,100,5600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,58,26.74909620001563,20,3045,100,5700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,59,26.955984100000933,18,3063,100,5800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,60,27.169501399999717,19,3082,100,5900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,61,27.393714800011367,20,3102,100,6000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,62,27.57215650001308,14,3116,100,6100,100,100,5,5,137.3403817568125,2.99902994334375
