case,run_id,seed,generation,unique_evaluations_cumulative,open_switches,losses_kw,saidi
ieee33,ieee33_seed_44568,44568,1,198,"8,10,25,33,36",155.0018060277991,3.20875101684375
ieee33,ieee33_seed_44568,44568,1,198,"6,8,14,25,36",159.23103073304884,3.146745717187499
ieee33,ieee33_seed_44568,44568,1,198,"6,11,13,25,36",163.0928040977558,3.028684651874999
ieee33,ieee33_seed_44568,44568,1,198,"6,11,13,15,37",151.21831073531428,3.5061347553749997
ieee33,ieee33_seed_44568,44568,2,296,"6,8,14,25,36",159.23103073304884,3.146745717187499
ieee33,ieee33_seed_44568,44568,2,296,"6,11,13,25,36",163.0928040977558,3.028684651874999
ieee33,ieee33_seed_44568,44568,2,296,"8,10,27,33,36",148.60189612300422,3.1827218055937503
ieee33,ieee33_seed_44568,44568,2,296,"8,14,28,33,36",143.4084367037023,3.1950856809374995
ieee33,ieee33_seed_44568,44568,3,393,"8,14,28,33,36",143.4084367037023,3.1950856809374995
ieee33,ieee33_seed_44568,44568,3,393,"6,10,14,25,36",157.81215135586768,3.0250591545937495
ieee33,ieee33_seed_44568,44568,3,393,"7,10,16,28,34",144.94093394067602,3.063452241187499
ieee33,ieee33_seed_44568,44568,4,487,"8,14,28,33,36",143.4084367037023,3.1950856809374995
ieee33,ieee33_seed_44568,44568,4,487,"6,10,14,25,36",157.81215135586768,3.0250591545937495
ieee33,ieee33_seed_44568,44568,4,487,"7,10,16,28,34",144.94093394067602,3.063452241187499
ieee33,ieee33_seed_44568,44568,4,487,"6,11,13,26,36",159.08025490880718,3.0091627434374995
ieee33,ieee33_seed_44568,44568,4,487,"10,27,33,34,36",144.56843330514266,3.1566925943437494
ieee33,ieee33_seed_44568,44568,5,577,"8,14,28,33,36",143.4084367037023,3.1950856809374995
ieee33,ieee33_seed_44568,44568,5,577,"7,10,16,28,34",144.94093394067602,3.063452241187499
ieee33,ieee33_seed_44568,44568,5,577,"10,27,33,34,36",144.56843330514266,3.1566925943437494
ieee33,ieee33_seed_44568,44568,5,577,"8,28,33,34,36",143.74939509171284,3.1631998971562494
ieee33,ieee33_seed_44568,44568,5,577,"6,11,14,26,36",154.80716249938286,3.0091627434374995
ieee33,ieee33_seed_44568,44568,5,577,"6,10,14,17,27",151.31445905186038,3.0113938186875
ieee33,ieee33_seed_44568,44568,6,669,"6,11,14,26,36",154.80716249938286,3.0091627434374995
ieee33,ieee33_seed_44568,44568,6,669,"6,10,14,17,27",151.31445905186038,3.0113938186875
ieee33,ieee33_seed_44568,44568,6,669,"7,9,14,17,28",141.31150453976764,3.0244084243125
ieee33,ieee33_seed_44568,44568,7,763,"6,10,14,17,27",151.31445905186038,3.0113938186875
ieee33,ieee33_seed_44568,44568,7,763,"7,9,14,17,28",141.31150453976764,3.0244084243125
ieee33,ieee33_seed_44568,44568,7,763,"6,10,14,26,36",153.799747233925,3.0055372461562495
ieee33,ieee33_seed_44568,44568,8,854,"6,10,14,17,27",151.31445905186038,3.0113938186875
ieee33,ieee33_seed_44568,44568,8,854,"7,9,14,17,28",141.31150453976764,3.0244084243125
ieee33,ieee33_seed_44568,44568,8,854,"6,10,14,26,36",153.799747233925,3.0055372461562495
ieee33,ieee33_seed_44568,44568,9,936,"6,10,14,17,27",151.31445905186038,3.0113938186875
ieee33,ieee33_seed_44568,44568,9,936,"7,9,14,17,28",141.31150453976764,3.0244084243125
ieee33,ieee33_seed_44568,44568,9,936,"6,10,14,26,36",153.799747233925,3.0055372461562495
ieee33,ieee33_seed_44568,44568,10,1014,"7,9,14,17,28",141.31150453976764,3.0244084243125
ieee33,ieee33_seed_44568,44568,10,1014,"7,9,14,28,31",141.307289117517,3.126480117
ieee33,ieee33_seed_44568,44568,10,1014,"7,11,13,27,36",146.53827076763744,3.0026554406249994
ieee33,ieee33_seed_44568,44568,11,1097,"7,9,14,17,28",141.31150453976764,3.0244084243125
ieee33,ieee33_seed_44568,44568,11,1097,"7,9,14,28,31",141.307289117517,3.126480117
ieee33,ieee33_seed_44568,44568,11,1097,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,12,1177,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,12,1177,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,13,1250,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,13,1250,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,13,1250,"7,9,14,28,36",138.6425908856557,3.0120445489687495
ieee33,ieee33_seed_44568,44568,14,1325,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,14,1325,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,14,1325,"7,9,14,28,36",138.6425908856557,3.0120445489687495
ieee33,ieee33_seed_44568,44568,15,1399,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,15,1399,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,15,1399,"7,9,14,28,36",138.6425908856557,3.0120445489687495
ieee33,ieee33_seed_44568,44568,16,1472,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,16,1472,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,16,1472,"7,9,14,28,36",138.6425908856557,3.0120445489687495
ieee33,ieee33_seed_44568,44568,17,1550,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,17,1550,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,17,1550,"7,9,14,28,36",138.6425908856557,3.0120445489687495
ieee33,ieee33_seed_44568,44568,17,1550,"7,10,14,32,37",137.97384885633065,3.34893691171875
ieee33,ieee33_seed_44568,44568,18,1618,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,18,1618,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,18,1618,"7,9,14,28,36",138.6425908856557,3.0120445489687495
ieee33,ieee33_seed_44568,44568,18,1618,"7,10,14,32,37",137.97384885633065,3.34893691171875
ieee33,ieee33_seed_44568,44568,19,1683,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,19,1683,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,19,1683,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,19,1683,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,20,1742,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,20,1742,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,20,1742,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,20,1742,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,21,1801,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,21,1801,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,21,1801,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,21,1801,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,22,1861,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,22,1861,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,22,1861,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,22,1861,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,23,1918,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,23,1918,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,23,1918,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,23,1918,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,24,1975,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,24,1975,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,24,1975,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,24,1975,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,25,2033,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,25,2033,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,25,2033,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,25,2033,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,26,2082,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,26,2082,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,26,2082,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,26,2082,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,27,2135,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,27,2135,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,27,2135,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,27,2135,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,28,2181,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,28,2181,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,28,2181,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,28,2181,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,29,2228,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,29,2228,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,29,2228,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,29,2228,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,30,2258,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,30,2258,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,30,2258,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,30,2258,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,31,2300,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,31,2300,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,31,2300,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,31,2300,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,32,2350,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,32,2350,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,32,2350,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,32,2350,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,33,2395,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,33,2395,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,33,2395,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,33,2395,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,34,2432,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,34,2432,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,34,2432,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,34,2432,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,35,2472,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,35,2472,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,35,2472,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,35,2472,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,36,2507,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,36,2507,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,36,2507,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,36,2507,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,37,2540,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,37,2540,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,37,2540,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,37,2540,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,38,2580,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,38,2580,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,38,2580,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,38,2580,"7,9,14,28,32",137.63400755669326,3.01855185178125
ieee33,ieee33_seed_44568,44568,39,2612,"7,10,14,27,36",142.0958063322025,2.99902994334375
ieee33,ieee33_seed_44568,44568,39,2612,"7,10,14,28,36",139.15707296498272,3.0055372461562495
ieee33,ieee33_seed_44568,44568,39,2612,"7,10,14,28,32",138.26747691143908,3.0120445489687495
ieee33,ieee33_seed_44568,44568,39,2612,"7,9,14,28,32",137.63400755669326,3.01855185178125
