case,open_switches,radial,connected,converged,opendss_converged,electrically_solved,losses_kw,min_voltage_pu,vmin_pu,max_voltage_pu,vmax_pu,v_min_limit,v_max_limit,voltage_feasible,saidi_h_user_year,saifi_int_user_year,ens_mwh_year,objective_reliability,objective_reliability_name,topologically_feasible,max_loading_percent,loading_feasible,loading_check_available,all_loads_served,operationally_feasible,feasible,infeasibility_reasons,message,seed,population,generations,method
ieee33,"33,34,35,36,37",True,True,True,True,True,185.68063610324225,0.9159677286485081,0.9159677286485081,0.9983942382629303,0.9983942382629303,0.9,1.05,True,3.8460948465937497,10.511327812500001,14.4680767812,3.8460948465937497,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"12,16,19,21,24",True,True,True,True,True,248.37984665520173,0.8934921668677396,0.8934921668677396,0.9984144768363494,0.9984144768363494,0.9,1.05,False,4.21087564996875,11.508269062499998,15.688921158,4.21087564996875,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"5,13,16,21,27",True,True,True,True,True,176.2203565566384,0.9184356624057434,0.9184356624057434,0.9983719353730732,0.9983719353730732,0.9,1.05,True,3.174448234875,8.67572625,11.972842221600004,3.174448234875,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"2,6,12,35,37",True,True,True,True,True,575.0778821354445,0.6645470131725536,0.6645470131725536,0.998676847051994,0.998676847051994,0.9,1.05,False,7.486930770187497,20.461685625,27.5011259616,7.486930770187497,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"11,20,23,34,36",True,True,True,True,True,290.94329250163815,0.8885922854897111,0.8885922854897111,0.9984286583757879,0.9984286583757879,0.9,1.05,False,4.660530274312499,12.737169375,17.2792315962,4.660530274312499,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"7,12,21,25,30",True,True,True,True,True,178.86629357256385,0.8900955644291315,0.8900955644291315,0.9983780036361037,0.9983780036361037,0.9,1.05,False,3.3583260200624996,9.178261875000002,12.502945701000003,3.3583260200624996,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"6,8,10,24,32",True,True,True,True,True,170.88132350252968,0.9267869858618534,0.9267869858618534,0.9983804283246989,0.9983804283246989,0.9,1.05,True,3.8022170333437497,10.391410312500001,14.0691605265,3.8022170333437497,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"9,12,20,27,36",True,True,True,True,True,179.53214076932994,0.9232536612596333,0.9232536612596333,0.9983761549228085,0.9983761549228085,0.9,1.05,True,3.3781268129062503,9.2323771875,12.773352021300003,3.3781268129062503,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"3,10,12,27,29",True,True,True,True,True,265.18987893204496,0.8203152784125776,0.8203152784125776,0.998461896795037,0.998461896795037,0.9,1.05,False,3.65924229440625,10.000662187500003,13.469447499300003,3.65924229440625,saidi,True,,,False,True,False,True,voltage_below_limit;loading_limits_not_available,ok,99013,100,100,evolutionary
ieee33,"6,8,10,17,37",True,True,True,True,True,146.72519214215262,0.9299581837722217,0.9299581837722217,0.998376837763392,0.998376837763392,0.9,1.05,True,3.5025092580937502,9.5723128125,13.0410810513,3.5025092580937502,saidi,True,,,False,True,True,True,loading_limits_not_available,ok,99013,100,100,evolutionary
